help-browser.html#Top        Introduksjon
help-browser.html#Cmdline    Kommandolinjeflagg
help-browser.html#Menus      Menyer
help-browser.html#Toolbar    Verktøylinje
help-browser.html#Entry      URL boks
help-browser.html#Bookmark   Bokmerker
help-browser.html#History    Historikk
